criterion,passed,evidence
C3 > C0 and C3 > C2 after primary Holm correction,True,"[{""ci_high"": 1.0, ""ci_low"": 1.0, ""comparison"": ""C3_GENERIC_COMPOSITION-C0_FIXED_SPACE"", ""estimate"": 1.0, ""family"": ""PRIMARY_EXISTING"", ""p_holm"": 0.00019998000199980003, ""p_one_sided"": 9.999000099990002e-05}, {""ci_high"": 1.0, ""ci_low"": 1.0, ""comparison"": ""C3_GENERIC_COMPOSITION-C2_GENERIC_DEPTH_1"", ""estimate"": 1.0, ""family"": ""PRIMARY_EXISTING"", ""p_holm"": 0.00019998000199980003, ""p_one_sided"": 9.999000099990002e-05}]"
rho_J >= 0.25 with positive lower bootstrap bound,True,"{""ci_high"": 3.5398230088495573, ""ci_low"": 2.684563758389262, ""defined_bootstrap_replicates"": 10000, ""rho_j"": 3.0534351145038165}"
C3 exceeds C0 in at least four known families,True,8
C3 FJR controlled overall and by depth,True,overall=0.000000; upper=0.012643; depth_delta=0.000000
successful C3 ancestry is multi-step and replay valid,True,replay=True; depth=True
held-out C3 materially exceeds C0,True,"{""ci_high"": 1.0, ""ci_low"": 1.0, ""comparison"": ""C3_GENERIC_COMPOSITION-C0_FIXED_SPACE"", ""estimate"": 1.0, ""family"": ""HELDOUT"", ""p_holm"": 9.999000099990002e-05, ""p_one_sided"": 9.999000099990002e-05}"
held-out-interface C3 FJR controlled,True,rate=0.000000; upper=0.036993
