source,policy,family,worlds,successes,jsr,wilson_95_low,wilson_95_high
C3,mask_signature:temporally_indexed_recurrence,unification,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,mask_signature:unobserved_dependency,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,hidden_regimes,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,mask_signature:unobserved_dependency,meta_law,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,property_to_relation,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_dependency,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
C3,mask_signature:unobserved_dependency,unification,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,causal_ambiguity,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,hidden_regimes,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,mask_signature:unobserved_selector,latent_common_cause,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,meta_law,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,property_to_relation,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,mask_signature:unobserved_selector,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
C3,mask_signature:unobserved_selector,unification,50,50,1.0,0.9286524008666414,1.0
C3,motif_disabled,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,coordinate_transform,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,hidden_regimes,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,meta_law,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,property_to_relation,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,state_invention,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,motif_disabled,triadic_relation_reification,100,0,0.0,3.469446951953614e-18,0.03699349820698568
C3,motif_disabled,unification,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C3,role_action_blind_binding,causal_ambiguity,50,50,1.0,0.9286524008666414,1.0
C3,role_action_blind_binding,coordinate_transform,50,50,1.0,0.9286524008666414,1.0
C3,role_action_blind_binding,hidden_regimes,50,26,0.52,0.38511744890044614,0.6520286471342196
C3,role_action_blind_binding,latent_common_cause,50,50,1.0,0.9286524008666414,1.0
C3,role_action_blind_binding,meta_law,50,21,0.42,0.2937500335471198,0.5576655823142176
C3,role_action_blind_binding,property_to_relation,50,50,1.0,0.9286524008666414,1.0
C3,role_action_blind_binding,state_invention,50,50,1.0,0.9286524008666414,1.0
C3,role_action_blind_binding,triadic_relation_reification,100,100,1.0,0.9630065017930143,1.0
C3,role_action_blind_binding,unification,50,50,1.0,0.9286524008666414,1.0
C_rand,aligned,causal_ambiguity,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,aligned,coordinate_transform,50,6,0.12,0.05617600150932274,0.23804817383202992
C_rand,aligned,hidden_regimes,50,1,0.02,0.003539259271646236,0.10495443589637815
C_rand,aligned,latent_common_cause,50,0,0.0,6.938893903907228e-18,0.07134759913335872
C_rand,aligned,meta_law,50,5,0.1,0.04347576493189041,0.21360231437479654
C_rand,aligned,property_to_relation,50,33,0.66,0.521538260502326,0.7756305077749992
