source,policy,unit,stage,passed,denominator,rate
C_rand,aligned,archived_candidate_slot,J2,939,1500,0.626
C_rand,aligned,archived_candidate_slot,J3,111,1500,0.074
C_rand,aligned,archived_candidate_slot,J4,75,1500,0.05
C_rand,aligned,archived_candidate_slot,J5,75,1500,0.05
C_rand,mask_signature:bound_relation,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:bound_relation,archived_candidate_slot,J1,1039,1500,0.6926666666666667
C_rand,mask_signature:bound_relation,archived_candidate_slot,J2,991,1500,0.6606666666666666
C_rand,mask_signature:bound_relation,archived_candidate_slot,J3,33,1500,0.022
C_rand,mask_signature:bound_relation,archived_candidate_slot,J4,33,1500,0.022
C_rand,mask_signature:bound_relation,archived_candidate_slot,J5,33,1500,0.022
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J1,1068,1500,0.712
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J2,939,1500,0.626
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J3,99,1500,0.066
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J4,63,1500,0.042
C_rand,mask_signature:multi_argument_function,archived_candidate_slot,J5,63,1500,0.042
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J1,1055,1500,0.7033333333333334
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J2,926,1500,0.6173333333333333
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J3,98,1500,0.06533333333333333
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J4,62,1500,0.04133333333333333
C_rand,mask_signature:relation_arity_3,archived_candidate_slot,J5,62,1500,0.04133333333333333
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J1,1083,1500,0.722
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J2,1000,1500,0.6666666666666666
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J3,104,1500,0.06933333333333333
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J4,68,1500,0.04533333333333334
C_rand,mask_signature:self_composed_function,archived_candidate_slot,J5,68,1500,0.04533333333333334
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J1,1068,1500,0.712
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J2,939,1500,0.626
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J3,111,1500,0.074
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J4,75,1500,0.05
C_rand,mask_signature:shared_rule_binding,archived_candidate_slot,J5,75,1500,0.05
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J1,1068,1500,0.712
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J2,939,1500,0.626
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J3,111,1500,0.074
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J4,75,1500,0.05
C_rand,mask_signature:temporally_indexed_recurrence,archived_candidate_slot,J5,75,1500,0.05
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J0,1500,1500,1.0
C_rand,mask_signature:unobserved_dependency,archived_candidate_slot,J1,1067,1500,0.7113333333333334
