family,successes,worlds,jsr,wilson_95_low,wilson_95_high
causal_ambiguity,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
coordinate_transform,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
hidden_regimes,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
latent_common_cause,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
meta_law,9,12,0.75,0.46769466506643426,0.9110583316059453
property_to_relation,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
state_invention,0,12,0.0,2.7755575615628914e-17,0.24249400665524085
unification,6,12,0.5,0.2537815976337061,0.7462184023662939
