worlds,both_fail,both_succeed,comparison_only_success,reference_only_success,paired_jsr_difference,reference,comparison
400,400,0,0,0,0.0,historical_phi4_4bit_cself_full,phi4_4bit_budget_cself_full
100,100,0,0,0,0.0,historical_phi4_4bit_cself_heldout,phi4_4bit_budget_cself_heldout
